Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,point.x,point.y,point.z
1692845345.546683,4024,1692845345,545638084,world,3.118753245533753,15.94158645879179,-0.4284787705409343
1692845345.7465458,4025,1692845345,745605945,world,3.1177218805180473,15.941761997000413,-0.4286100770381722
1692845345.941536,4026,1692845345,940428018,world,3.1186253725217057,15.941505803141126,-0.42850477980778123
1692845346.1468184,4027,1692845346,145560026,world,3.118723107280175,15.941465164411284,-0.42886137959561665
1692845346.343026,4028,1692845346,341429948,world,3.1183616317257474,15.941564355778155,-0.4283282836828164
1692845346.5909688,4029,1692845346,589575052,world,3.1184564227006604,15.941558902735096,-0.4281519142429886
1692845346.7904265,4030,1692845346,789374113,world,3.1181186986799503,15.941779170447262,-0.42725626727055044
1692845346.9905443,4031,1692845346,989384889,world,3.1182627050544625,15.941452045741244,-0.4287615740387736
1692845347.1921442,4032,1692845347,191662073,world,3.1186229412384137,15.941543215228194,-0.4279359853532583
1692845347.3903716,4033,1692845347,389519929,world,3.1177872543079275,15.941538146833182,-0.4287423859341146
1692845347.5901353,4034,1692845347,588871002,world,3.1190341246260687,15.941406890313601,-0.42890368434333936
1692845347.791072,4035,1692845347,790751934,world,3.1182541715159005,15.941739032518399,-0.4275019382024112
1692845347.9904766,4036,1692845347,989423990,world,3.118234355275945,15.941794763153439,-0.4282650548918099
1692845348.191,4037,1692845348,189415931,world,3.118348568301826,15.941592905100379,-0.4279249708200581
1692845348.3913202,4038,1692845348,389687061,world,3.117416440981401,15.941863089799881,-0.4278934356005095
1692845348.5903633,4039,1692845348,589078903,world,3.118062827733297,15.941684783028677,-0.4272958217161147
1692845348.7949336,4040,1692845348,793726921,world,3.1175753255994323,15.941716850654757,-0.4281411241159674
1692845348.995638,4041,1692845348,994498968,world,3.117946926900345,15.941426598580392,-0.4284542775857858
1692845349.1978717,4042,1692845349,196614027,world,3.118029316423531,15.941500788936537,-0.42865257873846474
1692845349.395872,4043,1692845349,394808053,world,3.1173032680302413,15.941545005996431,-0.4283996955257976
1692845349.5897424,4044,1692845349,589317083,world,3.117330537317912,15.941558446774252,-0.42811811728168436
1692845349.7908258,4045,1692845349,789557933,world,3.1179373355722646,15.941555111921389,-0.42806955965809834
1692845349.995863,4046,1692845349,994452953,world,3.1179758072991035,15.941563892188697,-0.4278288348151591
1692845350.1910102,4047,1692845350,189436912,world,3.117488676927451,15.94172091290693,-0.4283164662214318
1692845350.3914928,4048,1692845350,390943050,world,3.1176603410494863,15.941709254349917,-0.42802460414567634
1692845350.5916321,4049,1692845350,590711116,world,3.1171785620587116,15.941686442359241,-0.4281321042870303
1692845350.7904863,4050,1692845350,789659976,world,3.117640252400406,15.941596312992715,-0.4282513029085919
1692845350.9879148,4051,1692845350,987371921,world,3.117571570917221,15.941606862363642,-0.4282775498010096
1692845351.1904361,4052,1692845351,189744949,world,3.1173958033923554,15.941525189923823,-0.4284505239262444
1692845351.4114375,4053,1692845351,410577058,world,3.117452258305434,15.941662602815768,-0.42774753378040486
1692845351.6423714,4054,1692845351,640649080,world,3.117403483330577,15.941743229025178,-0.4282070303034544
1692845351.840231,4055,1692845351,839061975,world,3.1173322801661243,15.94177746143032,-0.42787583572636834
1692845352.0416598,4056,1692845352,39635896,world,3.117887929548715,15.941537914193987,-0.42846970084248426
1692845352.2406442,4057,1692845352,239423990,world,3.1184487181703844,15.941333282248479,-0.4285120501595969
1692845352.4953527,4058,1692845352,494056940,world,3.1195211832410905,15.941146659530887,-0.42843761548225245
1692845352.6955318,4059,1692845352,694550037,world,3.11943054947119,15.941303001603274,-0.42784741383066205
1692845352.8908916,4060,1692845352,889568090,world,3.1186518846204763,15.941414380759397,-0.4282725397553122
1692845353.091106,4061,1692845353,89955091,world,3.1186070344828067,15.941446825652292,-0.4278965784159112
1692845353.2959619,4062,1692845353,295281887,world,3.118833390387408,15.94137840254848,-0.42832756434485475
1692845353.4901497,4063,1692845353,489200115,world,3.1182049806017176,15.941392169228266,-0.4282754692175246
1692845353.6923459,4064,1692845353,690795898,world,3.1177306790585817,15.941612290094781,-0.42775723818688505
1692845353.8965647,4065,1692845353,894815921,world,3.1179374039414824,15.941751631773059,-0.4281779669231156
1692845354.0971797,4066,1692845354,96329927,world,3.1176650224607556,15.941546530977803,-0.428948825449325
1692845354.2910678,4067,1692845354,290194034,world,3.117494968286451,15.941597342738078,-0.42863416245027963
1692845354.5408916,4068,1692845354,540504932,world,3.1176967896143424,15.94161367862307,-0.4278289303616276
1692845354.791432,4069,1692845354,790467977,world,3.1183263133282253,15.941389689764947,-0.42798047715633913
1692845354.9899063,4070,1692845354,988996028,world,3.1160864272233084,15.939487692003695,-0.4210889856998534
1692845355.1895769,4071,1692845355,189261913,world,3.10739199268869,15.918978252155966,-0.38710775845687806
1692845355.395794,4072,1692845355,394542932,world,3.0938566446511686,15.874043399586526,-0.32074700201698647
1692845355.596176,4073,1692845355,594856977,world,3.075007397543004,15.846701782411856,-0.26169401051618024
1692845355.7972536,4074,1692845355,796166896,world,3.0581586188704932,15.841881015638592,-0.22198071477149028
1692845355.9957192,4075,1692845355,994839906,world,3.038641038614628,15.854689374326199,-0.17460334853710435
